"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","3/414","45/9399",0.0666666666666667,1.51352657004831,0.741189645160647,0.318287637151497,0.923698922332807,0.852741979057028,"940/356/3118",3
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","5/414","85/9399",0.0588235294117647,1.33546462063086,0.666878814362059,0.319856908380616,0.923698922332807,0.852741979057028,"131870/7378/26289/5169/129607",5
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","4/414","66/9399",0.0606060606060606,1.37593324549846,0.657856119752979,0.331344928705942,0.939317274955377,0.867160557018931,"412/1588/10720/1645",4
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","4/414","66/9399",0.0606060606060606,1.37593324549846,0.657856119752979,0.331344928705942,0.939317274955377,0.867160557018931,"160851/84649/4023/8613",4
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","8/414","150/9399",0.0533333333333333,1.21082125603865,0.558690757012233,0.341083032663313,0.958133246299669,0.884531118198638,"1647/596/122011/6932/2263/3728/2254/7476",8
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","6/414","109/9399",0.055045871559633,1.24970083765457,0.562839076014318,0.348116366997635,0.965052040796011,0.890918422945729,"7098/51284/388372/9560/6373/3627",6
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","2/414","28/9399",0.0714285714285714,1.62163561076605,0.707099910438974,0.351343953109089,0.965052040796011,0.890918422945729,"84002/8707",2
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","3/414","48/9399",0.0625,1.41893115942029,0.624587234942912,0.354927949328632,0.965052040796011,0.890918422945729,"478/8972/6518",3
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","6/414","110/9399",0.0545454545454545,1.23833992094862,0.53971874556417,0.356038616992703,0.965052040796011,0.890918422945729,"3625/4756/3624/650/9241/4681",6
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","11/414","217/9399",0.0506912442396313,1.15083817538235,0.482537803744759,0.359880838026799,0.966984164785051,0.892702124533295,"688/596/112/604/54852/253152/10720/153/28514/2254/2949",11
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","5/414","90/9399",0.0555555555555556,1.26127214170692,0.534591064059338,0.363908690555606,0.969377460186916,0.894911571148541,"8660/112/9365/814/10891",5
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","8/414","154/9399",0.051948051948052,1.1793713532844,0.481746798937168,0.367939682988784,0.971738137124224,0.897090904992896,"23057/27010/586/249/26289/3620/10720/129607",8
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","4/414","71/9399",0.0563380281690141,1.27903653806899,0.5065879217162,0.381958867161704,0.998081391339318,0.921410516276461,"6513/2322/5159/2263",4
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","9/414","178/9399",0.050561797752809,1.14789936492428,0.4276083227227,0.384374386955919,0.998081391339318,0.921410516276461,"23500/4773/122011/7089/6932/59352/7476/6422/6425",9
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","2/414","31/9399",0.0645161290322581,1.46470313230482,0.556277963287365,0.399229093157007,0.999999744496914,0.923181504883883,"9365/10720",2
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","4/414","73/9399",0.0547945205479452,1.2439944411356,0.449213197224265,0.402125069188236,0.999999744496914,0.923181504883883,"4128/10720/4129/2949",4
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","2/414","32/9399",0.0625,1.41893115942029,0.509537606749951,0.41482953140947,0.999999744496914,0.923181504883883,"596/666",2
NA,NA,"hsa04519","Cadherin signaling","19/414","404/9399",0.047029702970297,1.06771057540537,0.298610760353949,0.417587890475455,0.999999744496914,0.923181504883883,"4430/23500/79838/5318/5159/51466/6331/122011/2570/7005/6932/10413/3852/3728/259236/7476/79633/1832/84152",19
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","7/414","140/9399",0.05,1.13514492753623,0.345812410943701,0.421169283081063,0.999999744496914,0.923181504883883,"2790/6546/112/814/5581/6261/10891",7
